classname,day,time,building,room
Particle Astrophysics,MoWe,02:30 PM-03:45 PM,ALLEN,103
First Experiences In Research,Mo,04:00 PM-04:50 PM,ALLEN,103
Special Topics,TuTh,04:00 PM-05:15 PM,ALLEN,103
First Experiences In Research,Mo,05:00 PM-05:50 PM,ALLEN,103
Right Start To College 3,We,05:00 PM-06:50 PM,ALLEN,103
First Experiences In Research,We,09:00 AM-09:50 AM,ALLEN,103
Intro Theoretical Mathematics,MoWeFr,10:00 AM-10:50 AM,ALLEN,103
College Algebra Part 2,MoWe,11:00 AM-11:50 AM,ALLEN,103
Religions Of Ancient Egyp,TuTh,11:00 AM-12:15 PM,ALLEN,103
Religions Of Ancient Egyp,TuTh,11:00 AM-12:15 PM,ALLEN,103
Field Theory 2,MoWeFr,03:00 PM-03:50 PM,ALLEN,105
First Experiences In Research,Mo,05:00 PM-05:50 PM,ALLEN,105
First Experiences In Research,Th,05:00 PM-05:50 PM,ALLEN,105
First Experiences In Research,Tu,05:00 PM-05:50 PM,ALLEN,105
First Experiences In Research,We,05:00 PM-05:50 PM,ALLEN,105
Modern Physics Lab/Writ Prac,We,09:00 AM-09:50 AM,ALLEN,105
Electromagnetic Theory,MoWeFr,10:00 AM-10:50 AM,ALLEN,105
First Experiences In Research,Mo,11:00 AM-11:50 AM,ALLEN,105
Int To Nuclr & Partcl Physics,MoWeFr,02:00 PM-02:50 PM,ALLEN,106
Foundations Of Nanoscience,MoWeFr,03:00 PM-03:50 PM,ALLEN,106
First Experiences In Research,Mo,05:00 PM-05:50 PM,ALLEN,106
Adv Clsscl Electry & Magntsm,MoFr,10:00 AM-10:50 AM,ALLEN,106
Non-Relativstc Quntm Mechanc 2,MoWeFr,11:00 AM-11:50 AM,ALLEN,106
Modern Physics Laboratory,Th,11:00 AM-11:50 AM,ALLEN,106
Analog And Digital Electronics,Tu,11:00 AM-12:55 PM,ALLEN,106
Undergraduate Seminar,We,12:00 PM-12:50 PM,ALLEN,106
Undergraduate Seminar,We,12:00 PM-12:50 PM,ALLEN,106
Introduction To Physics 1,MoWeFr,01:00 PM-01:50 PM,ALUM,343
Basc Phys Sci & Engr 1 (Intgd),TuTh,01:00 PM-02:45 PM,ALUM,343
Basc Phys Sci & Engr 2 (Intgd),MoWeFr,04:00 PM-04:50 PM,ALUM,343
Introduction To Physics 1,MoWe,06:00 PM-07:20 PM,ALUM,343
Basc Phys Sci & Engr 2 (Intgd),TuTh,06:00 PM-07:40 PM,ALUM,343
